index,/gantry/pitch/target,/gantry/pitch/measurement,/gantry/pitch/control_velocity,/gantry/imu/roll,/gantry/imu/pitch,/gantry/imu/yaw,/dart/left_motor/angle,/dart/left_motor/velocity,/dart/left_motor/control_velocity,/dart/left_motor/torque,/dart/left_motor/control_torque,/dart/right_motor/angle,/dart/right_motor/velocity,/dart/right_motor/control_velocity,/dart/right_motor/torque,/dart/right_motor/control_torque,/dart/up_motor/angle,/dart/up_motor/velocity,/dart/up_motor/control_velocity,/dart/up_motor/torque,/dart/up_motor/control_torque
14628,2.5905,2.59125,-7.56406,2.59125,-0.0587674,0.169385,-258.831,-7.28675,-7.58167,-0.0901978,-0.0861874,-258.995,-7.17039,-7.54645,-0.0637207,-0.108507,0.0201761,-0,0,-0.00406494,0
14629,2.59047,2.59121,-7.3811,2.59121,-0.058779,0.169407,-258.866,-6.99004,-7.39879,-0.0598755,-0.125951,-259.031,-7.00168,-7.3634,-0.103381,-0.111859,0.0201761,-0,0,-0.00406494,0
14630,2.59045,2.5912,-7.59893,2.5912,-0.0587512,0.169379,-258.907,-6.81842,-7.61599,-0.153149,-0.18,-259.065,-6.53044,-7.58188,-0.138098,-0.18,0.0201761,-0,0,0.00109863,0
14631,2.59042,2.59119,-7.74433,2.59119,-0.058765,0.169407,-258.935,-6.70206,-7.76143,-0.130188,-0.18,-259.094,-6.45772,-7.72722,-0.139197,-0.18,0.0201761,-0,0,0.00109863,0
14632,2.5904,2.59116,-7.67087,2.59116,-0.0587578,0.169399,-258.971,-7.29839,-7.68843,-0.143372,-0.112503,-259.135,-7.21403,-7.65331,-0.0845947,-0.130134,0.0201761,-0,0,0.00109863,0
14633,2.59037,2.59113,-7.56444,2.59113,-0.0587506,0.169413,-259.007,-7.36238,-7.58213,-0.153479,-0.0613802,-259.172,-7.49037,-7.54674,-0.0227417,-0.00824568,0.0201761,-0,0,0.00109863,0
14634,2.59035,2.59109,-7.4406,2.59109,-0.0587241,0.169425,-259.04,-7.01041,-7.4586,-0.0919556,-0.136102,-259.208,-7.79871,-7.4226,-0.0303223,0.125146,0.0201761,-0,0,0.00109863,0
14635,2.59032,2.59104,-7.24081,2.59104,-0.0587236,0.169442,-259.077,-6.87369,-7.25868,-0.0629517,-0.119027,-259.243,-6.83006,-7.22295,-0.0959106,-0.121342,0.0201761,-0,0,0.00109863,0
14636,2.5903,2.59102,-7.26146,2.59102,-0.058729,0.169445,-259.115,-6.72243,-7.27885,-0.154028,-0.167052,-259.277,-6.40245,-7.24407,-0.129529,-0.18,0.0201761,-0,0,-0.00406494,0
14637,2.59027,2.59101,-7.39115,2.59101,-0.0587,0.169479,-259.151,-6.80969,-7.40822,-0.124805,-0.178768,-259.31,-6.62643,-7.37409,-0.151282,-0.18,0.0201761,-0,0,-0.00406494,0
